"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"California laurel","Umbellularia californica",3,"120-164 cubic feet/acre/year",981,10.7523052616482,5.16110248989715,2.48982580110252,2.52940153102614,30,13050
"California laurel","Umbellularia californica",4,"85-119 cubic feet/acre/year",981,6.64431761736835,3.32323637412403,0.513162144973759,1.3015291488299,26,13050
"California laurel","Umbellularia californica",5,"50-84 cubic feet/acre/year",981,31.0540079335021,1.85651052940404,103.244598618151,3.57701847902762,9,13050
"California laurel","Umbellularia californica",6,"20-49 cubic feet/acre/year",981,-0.272819568955285,-0.00329556582220503,0.95408605619342,0.000140708142608168,4,12761
"California red fir","Abies magnifica",3,"120-164 cubic feet/acre/year",20,17.9113946170511,0.641732351256182,7.82644719982735,0.212949884145151,3,6444
"California red fir","Abies magnifica",4,"85-119 cubic feet/acre/year",20,15.3904995607371,0.641016575782395,10.2246731561101,0.208694058986632,3,13050
"California red fir","Abies magnifica",5,"50-84 cubic feet/acre/year",20,17.0764384755351,0.941763295857751,0.463622684833075,0.582090125199901,3,6444
"California red fir","Abies magnifica",6,"20-49 cubic feet/acre/year",20,31.788468741703,0.0543186195763194,-4.71788278745758e-13,0.00321645620463012,1,6155
"canyon live oak","Quercus chrysolepis",2,"165-224 cubic feet/acre/year",805,3.48858104337,0.0401474091889732,0,0.00177678100527964,1,6606
"canyon live oak","Quercus chrysolepis",3,"120-164 cubic feet/acre/year",805,3.51528105938342,0.29902645425484,2.84822139047661,0.0387756569846833,17,12761
"canyon live oak","Quercus chrysolepis",4,"85-119 cubic feet/acre/year",805,4.97134658214552,3.10731146025134,0.329679797028551,0.535088422046787,54,13050
"canyon live oak","Quercus chrysolepis",5,"50-84 cubic feet/acre/year",805,3.21869283471411,1.99606304689901,0.0681074173733409,0.243218428816741,47,13050
"canyon live oak","Quercus chrysolepis",6,"20-49 cubic feet/acre/year",805,3.22514212549347,1.37093657330141,0.219076780164493,0.184703953489538,23,12761
"canyon live oak","Quercus chrysolepis",7,"0-19 cubic feet/acre/year",805,3.09481771807996,2.88970926626402,0.0515899087367433,2.12648863925852,10,12761
"chokecherry","Prunus virginiana",2,"165-224 cubic feet/acre/year",763,3.30380672314291,0.103203652811811,5.43111757844938,0.00521660360648253,4,13792
"chokecherry","Prunus virginiana",3,"120-164 cubic feet/acre/year",763,14.560919670505,0.278030729845046,3.13939630516747,0.0337984957925991,4,19947
"chokecherry","Prunus virginiana",4,"85-119 cubic feet/acre/year",763,0.480029291719428,0.00320709196275162,0.241318324023452,9.35161017116548e-06,5,19947
"chokecherry","Prunus virginiana",5,"50-84 cubic feet/acre/year",763,3.76979563728,0.0215816135692593,2.66065054938144e-15,0.00030737703261494,2,20188
"Douglas-fir","Pseudotsuga menziesii",1,"225+ cubic feet/acre/year",202,28.4005477207862,386.620735905233,2.09826390065812,3699.27410059467,97,19947
"Douglas-fir","Pseudotsuga menziesii",2,"165-224 cubic feet/acre/year",202,30.0843163949042,2067.85596374477,0.200204575389546,4113.19733161305,1057,20477
"Douglas-fir","Pseudotsuga menziesii",3,"120-164 cubic feet/acre/year",202,27.3199572193605,1529.69699078006,0.115313243606106,1691.67039760862,1816,20477
"Douglas-fir","Pseudotsuga menziesii",4,"85-119 cubic feet/acre/year",202,21.6361054990755,806.384525794286,0.174138624433189,731.778108337645,1546,20477
"Douglas-fir","Pseudotsuga menziesii",5,"50-84 cubic feet/acre/year",202,16.2672755547145,462.668590834555,0.0982436922495063,198.976667403091,1866,20477
"Douglas-fir","Pseudotsuga menziesii",6,"20-49 cubic feet/acre/year",202,11.695014003713,266.725576206986,0.113896579856312,138.305443913031,1072,20477
"Douglas-fir","Pseudotsuga menziesii",7,"0-19 cubic feet/acre/year",202,10.2589719539477,48.8410967318879,1.01266817164962,57.3714063051633,132,20477
"Engelmann spruce","Picea engelmannii",2,"165-224 cubic feet/acre/year",93,21.5629579698005,4.93696454037481,11.3502304599949,3.164586647488,22,19947
"Engelmann spruce","Picea engelmannii",3,"120-164 cubic feet/acre/year",93,16.1011992227922,15.6848501268131,1.55610772728349,9.44880615047728,100,20477
"Engelmann spruce","Picea engelmannii",4,"85-119 cubic feet/acre/year",93,14.8807089901088,39.4417425742759,0.918058940069932,21.2431670566364,240,20477
"Engelmann spruce","Picea engelmannii",5,"50-84 cubic feet/acre/year",93,12.0730220328837,20.8737682252281,0.525834128628456,4.69974637758636,261,20477
"Engelmann spruce","Picea engelmannii",6,"20-49 cubic feet/acre/year",93,10.4734323728069,9.88693270713097,0.500138564554818,2.09303210175124,122,20477
"Engelmann spruce","Picea engelmannii",7,"0-19 cubic feet/acre/year",93,12.0652735216258,11.993762393365,1.22230554588352,17.8340626581407,32,13871
