"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"California black oak","Quercus kelloggii",6,"20-49 cubic feet/acre/year",818,3.52883828086712,1.93556885044236,1.94853377829223,0.777424541030639,23,12761
"California black oak","Quercus kelloggii",7,"0-19 cubic feet/acre/year",818,0.283094570398187,0.171291486157142,9.60373526005917,3.5389361792924,16,6606
"California laurel","Umbellularia californica",2,"165-224 cubic feet/acre/year",981,8.13211462100864,4.01779782842488,3.17622944477951,2.54463845970276,19,12761
"California laurel","Umbellularia californica",3,"120-164 cubic feet/acre/year",981,9.43103104760927,6.48152089306815,4.09167535887356,6.27420402945889,40,13050
"California laurel","Umbellularia californica",4,"85-119 cubic feet/acre/year",981,3.26371223833495,2.31225178312497,6.72088971673797,4.72430558595184,31,13050
"California laurel","Umbellularia californica",5,"50-84 cubic feet/acre/year",981,27.8723893857625,1.90668483526067,102.096721078622,3.75004001705546,10,13050
"California laurel","Umbellularia californica",6,"20-49 cubic feet/acre/year",981,-1.04047934553235,-0.0156454747869985,1.02337527742336,0.000299749571760694,7,12761
"California red fir","Abies magnifica",3,"120-164 cubic feet/acre/year",20,17.1693272888731,0.748636226123567,7.52315660331699,0.287865443915799,5,6444
"California red fir","Abies magnifica",4,"85-119 cubic feet/acre/year",20,10.3192636936245,0.51037692289455,9.19301467500457,0.137462302860659,7,13050
"California red fir","Abies magnifica",5,"50-84 cubic feet/acre/year",20,9.97074874603779,0.611687451328926,1.43253086516011,0.219190147272693,4,6444
"California red fir","Abies magnifica",6,"20-49 cubic feet/acre/year",20,-45.4022228600099,-0.088664175373642,1.44485160365888e-12,0.00856991573963824,1,6155
"canyon live oak","Quercus chrysolepis",2,"165-224 cubic feet/acre/year",805,3.48858104337,0.0401474091889732,0,0.00177678100527964,1,6606
"canyon live oak","Quercus chrysolepis",3,"120-164 cubic feet/acre/year",805,-3.42960768684369,-0.426936213102829,19.2558261241487,0.287594775888452,26,12761
"canyon live oak","Quercus chrysolepis",4,"85-119 cubic feet/acre/year",805,1.69113716434384,1.32953682935738,4.75219119060182,2.63130266938637,68,13050
"canyon live oak","Quercus chrysolepis",5,"50-84 cubic feet/acre/year",805,1.36353997214444,1.07658965032992,1.33764755685085,0.855954992693126,60,13050
"canyon live oak","Quercus chrysolepis",6,"20-49 cubic feet/acre/year",805,3.80523126042256,2.32296834083309,0.665981642154635,0.917805321539751,27,12761
"canyon live oak","Quercus chrysolepis",7,"0-19 cubic feet/acre/year",805,1.2450301731487,1.5968137059933,8.82519164794456,15.5234818810727,11,12761
"chokecherry","Prunus virginiana",2,"165-224 cubic feet/acre/year",763,1.19751461652442,0.151632771368843,48.0672074815655,0.774775832736197,11,13792
"chokecherry","Prunus virginiana",3,"120-164 cubic feet/acre/year",763,11.939643215133,0.369761373044939,4.90659293055445,0.0379985553793848,13,19947
"chokecherry","Prunus virginiana",4,"85-119 cubic feet/acre/year",763,-0.795610235678865,-0.00834944739271299,16.559674936859,0.00190085221545847,9,19947
"chokecherry","Prunus virginiana",5,"50-84 cubic feet/acre/year",763,-0.0209117706294279,-0.0002811249961018,7.70938216404985,0.0013886582321002,15,20188
"chokecherry","Prunus virginiana",7,"0-19 cubic feet/acre/year",763,-20.8075286290588,-0.619679922215896,1.21681588618378e-13,0.464196347572159,3,17326
"Douglas-fir","Pseudotsuga menziesii",1,"225+ cubic feet/acre/year",202,21.9645544978452,825.108534939117,1.57903417277406,15443.0325383961,149,19947
"Douglas-fir","Pseudotsuga menziesii",2,"165-224 cubic feet/acre/year",202,21.2101033380344,2473.915080123,0.157679325665031,5722.28952411859,1218,20477
"Douglas-fir","Pseudotsuga menziesii",3,"120-164 cubic feet/acre/year",202,19.3228000485039,1873.21199481304,0.142546592701067,2988.97663281012,2072,20477
"Douglas-fir","Pseudotsuga menziesii",4,"85-119 cubic feet/acre/year",202,14.480765420512,811.251082878658,0.294624847657888,1613.89566091886,1716,20477
"Douglas-fir","Pseudotsuga menziesii",5,"50-84 cubic feet/acre/year",202,8.51869831785321,335.263732234285,0.365509749431757,662.259387950494,2103,20477
"Douglas-fir","Pseudotsuga menziesii",6,"20-49 cubic feet/acre/year",202,2.87729210102129,86.0288968039901,0.831248288556872,762.576271280141,1217,20477
"Douglas-fir","Pseudotsuga menziesii",7,"0-19 cubic feet/acre/year",202,-3.01141789032775,-21.8479770665626,9.69243645203773,543.948550320678,170,20477
"Engelmann spruce","Picea engelmannii",1,"225+ cubic feet/acre/year",93,42.009009685081,1.31448971889053,655.267832883502,0.825342284108376,2,7186
"Engelmann spruce","Picea engelmannii",2,"165-224 cubic feet/acre/year",93,20.2307035604278,6.49318087792314,6.22422967014506,4.45575242105657,23,19947
"Engelmann spruce","Picea engelmannii",3,"120-164 cubic feet/acre/year",93,-0.91833440341208,-1.17600528520024,54.9974142497832,90.5532974496251,129,20477
"Engelmann spruce","Picea engelmannii",4,"85-119 cubic feet/acre/year",93,-10.36934620912,-45.9432026992169,35.6536908159782,851.903109666422,301,20477
"Engelmann spruce","Picea engelmannii",5,"50-84 cubic feet/acre/year",93,-8.5905234303719,-22.9737243861017,27.9531058468907,209.535359777776,344,20477
"Engelmann spruce","Picea engelmannii",6,"20-49 cubic feet/acre/year",93,-36.1482636359973,-69.7847870771836,264.088300233506,1284.24720335942,181,20477
"Engelmann spruce","Picea engelmannii",7,"0-19 cubic feet/acre/year",93,-23.3482403982173,-35.7479980954521,268.386002869472,645.819499297614,54,13871
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",2,"165-224 cubic feet/acre/year",431,5.19768963204919,1.24766721998675,6.43430885647991,0.698667085396929,34,12761
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",3,"120-164 cubic feet/acre/year",431,1.71500002082071,2.56518144067077,1.50846967046468,3.40072046081534,170,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",4,"85-119 cubic feet/acre/year",431,2.88320661389072,2.71992592680994,1.63441203454026,1.66753185460912,151,17615
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",5,"50-84 cubic feet/acre/year",431,3.20711980339311,2.52784128352209,2.59598069761499,2.56887545150141,105,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",6,"20-49 cubic feet/acre/year",431,3.7807406003451,0.890255511793526,0.743185348261378,0.133115252887756,24,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",7,"0-19 cubic feet/acre/year",431,-11.1438764905522,-6.86009430972827,112.611343242915,60.5363422586455,8,12761
"giant sequoia","Sequoiadendron giganteum",2,"165-224 cubic feet/acre/year",212,24.0141755323636,0.413811127849406,1.1113554428774e-13,0.130085995669094,1,6606
"grand fir","Abies grandis",1,"225+ cubic feet/acre/year",17,0.689831494213239,0.219738989167122,500.746923707599,51.1360653804232,7,13792
"grand fir","Abies grandis",2,"165-224 cubic feet/acre/year",17,18.307775639816,17.9208451718692,14.5988436586274,29.23864608067,65,19947
"grand fir","Abies grandis",3,"120-164 cubic feet/acre/year",17,10.713996314818,53.737474918289,3.04129863552101,100.903679836442,379,20477
"grand fir","Abies grandis",4,"85-119 cubic feet/acre/year",17,5.53547374658077,72.0372128982128,2.87663666331714,491.570535182065,656,20477
"grand fir","Abies grandis",5,"50-84 cubic feet/acre/year",17,3.5228401119733,39.1682201300969,2.01730346533641,238.134789719235,819,20477
"grand fir","Abies grandis",6,"20-49 cubic feet/acre/year",17,5.43781291151809,28.4429159513584,4.00202143961197,108.629685680377,396,20477
"grand fir","Abies grandis",7,"0-19 cubic feet/acre/year",17,-4.94082765476499,-1.59953203690354,38.5847201260779,4.57361889544976,22,20477
"incense-cedar","Calocedrus decurrens",2,"165-224 cubic feet/acre/year",81,12.9714196585859,2.45012188816414,14.4460536705257,1.37633884028128,21,12761
"incense-cedar","Calocedrus decurrens",3,"120-164 cubic feet/acre/year",81,15.1823127171624,19.7065666813072,2.97163239624669,20.1818079882387,177,13050
"incense-cedar","Calocedrus decurrens",4,"85-119 cubic feet/acre/year",81,10.9475169579038,19.5767180972263,6.22781040864683,27.9793232143881,195,13050
"incense-cedar","Calocedrus decurrens",5,"50-84 cubic feet/acre/year",81,12.6829157913519,14.8442046075413,3.75419997074974,7.49659832392234,170,13050
"incense-cedar","Calocedrus decurrens",6,"20-49 cubic feet/acre/year",81,4.92265394948804,4.83079227761319,5.39421668659183,7.06317185208375,99,13050
"incense-cedar","Calocedrus decurrens",7,"0-19 cubic feet/acre/year",81,17.8946972879966,4.85564419811818,22.183065588617,5.35561161405068,14,12761
"Jeffrey pine","Pinus jeffreyi",3,"120-164 cubic feet/acre/year",116,-31.0822864467273,-0.0736931272927237,0,0.00631285773114466,2,6155
